Date,Open,High,Low,Close,Volume,MarketCap
2020-01-12,143.03,146.15,142.71,145.87,8528167453,15937115426
2020-01-11,143.41,146.48,142.21,142.93,9332208590,15613213640
2020-01-10,138.97,144.17,135.52,143.96,9084816203,15724494553
2020-01-09,141.16,141.39,136.24,138.98,7697325348,15178151517
2020-01-08,143.49,146.83,138.27,141.26,9387194957,15425115411
2020-01-07,144.31,145,140.49,143.54,9257954672,15672773110
2020-01-06,136.31,144.33,136.08,144.3,9093747121,15753803340
2020-01-05,135.07,139.41,135.05,136.28,7526675353,14875569430
2020-01-04,134.17,136.05,133.04,135.07,7430904515,14741946278
2020-01-03,127.41,134.55,126.49,134.17,10476845358,14642130120
2020-01-02,130.82,130.82,126.95,127.41,8032709256,13902505466
2020-01-01,129.63,132.84,129.2,130.8,7935230330,14271059633
2019-12-31,132.61,133.73,128.8,129.61,8936866397,14139765786
2019-12-30,134.8,136.76,131.55,132.63,9796951716,14468140712
2019-12-29,128.27,136.81,128,134.76,9708776786,14698483422
2019-12-28,127.21,130.26,126.9,128.32,8069298610,13995233088
2019-12-27,126.37,128.1,124.82,127.21,8299390176,13873046817
2019-12-26,126.49,130.9,125.41,126.36,8600871980,13778664460
2019-12-25,129.07,129.07,124.89,126.45,8418019054,13787538200
2019-12-24,128.63,131.67,127.31,129.06,7961819689,14070696528
2019-12-23,132.31,134.73,127.42,128.61,9622497693,14020312860
2019-12-22,128.1,133.16,127.93,132.37,9121058481,14428651183
2019-12-21,129.1,129.15,127.61,128.13,7449064703,13964992761
2019-12-20,129.38,129.76,126.99,129.07,8173594150,14065549620
2019-12-19,133.05,134.19,125.97,129.32,9564699140,14092012421
2019-12-18,122.66,133.39,119.78,133.09,11864518321,14501554620
2019-12-17,133.65,134.01,121.4,122.6,9057166141,13357486656
2019-12-16,143.14,143.22,132.46,133.61,8992282119,14555616655
2019-12-15,142.86,143.93,139.43,143.11,7235153411,15589117504
2019-12-14,144.95,145.53,142.43,142.87,7048066973,15560820323
2019-12-13,145.66,145.86,143.75,144.94,7264810247,15785338920
2019-12-12,143.62,145.75,141.44,145.6,7890383413,15855473988
2019-12-11,146.32,147.14,143.05,143.61,7037180049,15636405555
2019-12-10,148.18,148.56,144.91,146.27,6859512025,15924221614
2019-12-09,151.22,151.91,147.62,148.23,6744206747,16135631420
2019-12-08,148.74,152.39,148.31,151.26,6441727252,16464729150
2019-12-07,149.2,149.8,148.37,148.77,5911233284,16191247024
2019-12-06,149.4,149.67,147.61,149.19,6458766441,16235876301
2019-12-05,146.69,153.16,145.46,149.25,6745910228,16240052430
2019-12-04,147.92,150.68,145,146.75,7865937094,15966157442
2019-12-03,149.06,150.31,146,147.96,6204379850,16095928402
2019-12-02,151.18,152.12,147.61,149.06,6670561362,16214125032
2019-12-01,152.49,152.49,147.07,151.19,7102780298,16443650814
2019-11-30,155.29,156.69,151.23,152.54,6565950868,16589132426
2019-11-29,151.77,156.85,151.46,155.3,7503898278,16887922522
2019-11-28,153.07,156.61,151.09,151.72,7346531960,16496129470
2019-11-27,148.4,154.89,143.53,153.01,8778095308,16634910472
2019-11-26,146.4,150,145.22,148.97,7648516297,16193326033
2019-11-25,142.7,150.21,133.8,146.48,10962753356,15921080564
2019-11-24,153.43,153.97,142.83,142.83,7782769098,15523459920
2019-11-23,150.21,154.1,147.6,153.42,8289198330,16671705910
2019-11-22,161.51,163.03,142.34,150.27,12020749863,16327536038
2019-11-21,175.67,176.21,159.37,161.46,8546371325,17541867626
2019-11-20,177.42,178.99,175.29,175.7,7205785149,19086228092
2019-11-19,180.5,182.53,175.2,177.46,7536699743,19274876583
2019-11-18,185.04,186.93,179.18,180.56,7787662111,19609782345
2019-11-17,183.35,188.19,182.34,185.12,7364325471,20102654601
2019-11-16,180.5,184.16,179.99,183.35,6789888120,19908020821
2019-11-15,186.06,186.25,179.38,180.52,8815678477,19598770324
2019-11-14,188.27,188.63,184.99,186,7872664470,20191206220
2019-11-13,186.94,189.33,185.94,188.26,7343173596,20434064781
2019-11-12,185.56,187.95,184.19,186.84,7792186666,20278071676
2019-11-11,189.5,190.34,185.09,185.49,7877424106,20128792760
2019-11-10,184.94,190.92,184.69,189.48,8752784211,20559121065
2019-11-09,184.31,185.84,183.9,185.03,7277418704,20074095541
2019-11-08,187.92,188.82,182.54,184.21,9176780911,19983058356
2019-11-07,191.5,191.86,186.57,187.98,9081247799,20389037934
2019-11-06,189.11,193.55,188.67,191.59,10156458684,20778894603
2019-11-05,186.31,191.26,184.33,189.3,10024177342,20528094420
2019-11-04,182.32,188.02,181.82,186.36,10551917945,20205859402
2019-11-03,183.99,185.02,179.82,182.43,8760247744,19777347724
2019-11-02,184.02,185.71,182.8,183.93,8087991830,19937622287
2019-11-01,183.8,185.06,181.09,183.97,9145611130,19940014311
2019-10-31,184.8,188.75,180.07,183.97,9607939606,19937256794
2019-10-30,190.34,191.11,181.55,184.69,10484902804,20013431227
2019-10-29,182.67,191.85,182.36,190.34,10622761958,20623205054
2019-10-28,184.4,187.88,180.25,182.66,10406734124,19788729316
2019-10-27,179.93,188.16,177.68,184.24,10815941952,19957408085
2019-10-26,181.67,195.94,176.13,179.84,13831784986,19477741705
2019-10-25,162.19,183,161.97,181.52,10358594018,19658140299
2019-10-24,162.51,164.15,160.89,162.17,7300917537,17560021218
2019-10-23,172.26,172.42,157.46,162.4,9624925919,17583244177
2019-10-22,174.91,175.65,172.27,172.3,6990951966,18652588580
2019-10-21,175.52,177.74,173.29,174.92,6815820627,18933882640
2019-10-20,172.97,176.72,171.21,175.53,6801091120,18997957789
2019-10-19,173.65,175.61,172.22,172.91,6551453871,18711940303
2019-10-18,177.99,178.18,171.01,173.62,7566257807,18786275035
2019-10-17,175.91,178.9,174.57,178.03,6737237423,19260755682
2019-10-16,181.34,181.67,174.06,176.01,7691244590,19040429002
2019-10-15,186.98,187.76,179.46,181.41,7731456579,19621350993
2019-10-14,182.03,187.3,181.66,186.96,7276520699,20219637357
2019-10-13,180.86,185.08,180.32,182.08,6733182273,19688808994
2019-10-12,182.53,186.3,179.98,180.83,7494328840,19551368532
2019-10-11,191.8,195.32,181.66,182.57,9128522970,19737401838
2019-10-10,193.19,193.9,188.31,191.66,8375913276,20717535747
2019-10-09,182.04,194.3,180.67,193.29,9088122101,20891536595
2019-10-08,181.11,184.36,179.13,182.02,7466282780,19670825764
2019-10-07,172.94,182.36,171.53,181.19,7844316834,19578142143
2019-10-06,176.36,177.36,171.3,173.06,5852890674,18697637484
2019-10-05,176.95,177.71,173.07,176.35,5837211771,19050956367
2019-10-04,175.24,178.55,173.56,176.99,6248928449,19116991692
2019-10-03,180.7,180.8,172.6,175.2,6381403725,18921747814
2019-10-02,177.22,180.83,175.33,180.71,6335595250,19514521236
2019-10-01,180.21,185.05,175.81,177.34,7676276225,19148222892
2019-09-30,170.46,179.87,167.04,179.87,7552915148,19419149343
2019-09-29,174.61,175.21,167,170.5,6497088199,18405401315
2019-09-28,174.68,175.78,170.77,174.57,6895423445,18842313324
2019-09-27,166.65,175.61,163.21,174.71,7909313625,18854855889
2019-09-26,170.76,171.69,157.13,166.73,7848286154,17991000062
2019-09-25,168.13,174.72,164.91,170.89,9766632018,18438188568
2019-09-24,201.84,203.5,162.73,168.11,11757739233,18135747380
2019-09-23,211.71,211.84,201.89,201.92,7494673136,21780534855
2019-09-22,215.49,216.09,207.64,211.55,7812854576,22815755536
2019-09-21,217.9,220.96,215,215.52,7743309778,23241121351
2019-09-20,221.07,221.6,215.16,218.05,8027974273,23511410671
2019-09-19,211.25,222.87,204.69,221.28,10620070913,23856751722
2019-09-18,208.05,216.71,208.05,211.39,9194634557,22787891774
2019-09-17,197.11,213.73,196.72,208.61,10232590812,22484889435
2019-09-16,189.69,198.2,189.69,197.11,8242029488,21243167877
2019-09-15,188.07,190.4,186.45,189.79,6222874780,20451239362
2019-09-14,181.32,188.45,180.37,188.11,6500686511,20267272633
2019-09-13,180.98,181.5,178.58,181.11,5955041237,19511050764
2019-09-12,178.8,182,177.85,181.02,5838605477,19498542852
2019-09-11,179.84,181.76,176.5,178.73,7157139035,19249367782
2019-09-10,181.21,184.06,178.12,179.79,6291476772,19361276593
2019-09-09,181.36,184.15,177.42,181.15,7232938985,19505534124
2019-09-08,178.28,182.98,178.14,181.36,6472677266,19525276831
2019-09-07,169.96,180.85,169.44,178.26,6791531342,19189873689
2019-09-06,174.17,177.72,168.34,169.96,6797611878,18293376881
2019-09-05,175.97,176.16,171.75,174.22,5589476516,18749645579
2019-09-04,179.49,180.14,175.33,175.99,5938120494,18938360723
2019-09-03,178.36,182.35,175.97,179.5,6962728938,19313265198
2019-09-02,171.7,180.15,170.45,178.35,6503447137,19186913439
2019-09-01,172.46,173.7,169.53,171.63,5554799576,18461846968
2019-08-31,168.89,174.32,167.8,172.47,5830212249,18549906272
2019-08-30,169.49,170.77,167.07,168.83,5776520220,18156660601
2019-08-29,173.96,174,167.17,169.52,7129569083,18227677831
2019-08-28,187.5,187.93,172.19,173.89,6696604087,18695530287
2019-08-27,188.95,188.96,185.47,187.52,6042327402,20158029984
2019-08-26,186.74,193.44,186.74,188.93,7207986636,20307338403
2019-08-25,191.23,192.16,184.96,186.84,5826017143,20080495261
2019-08-24,194.67,194.78,187.63,191.29,6249737982,20555802874
2019-08-23,191.11,195.91,189.56,194.71,6658162377,20920364879
2019-08-22,186.94,194.42,183.38,191.33,7569043874,20555295233
2019-08-21,196.62,197.03,182.69,186.89,7775772700,20075644245
2019-08-20,202.81,203.02,195.62,196.57,6408417610,21112106339
2019-08-19,194.56,203.56,193.11,203.09,6145148692,21810324618
2019-08-18,185.84,197.52,183.69,194.49,5969012024,20884307088
2019-08-17,185.53,186.7,182.59,185.69,5512696513,19936235953
2019-08-16,188.64,188.91,180.38,185.44,7133915837,19907120204
2019-08-15,186.68,189.46,178.14,188.5,8197244441,20233249251
2019-08-14,208.6,209.07,186.33,186.61,7444456154,20027397541
2019-08-13,211.34,211.38,205.42,208.71,5946313205,22396531009
2019-08-12,216.06,216.14,210.95,211.29,5674315559,22670420643
2019-08-11,206.73,216.6,206.51,216.09,6440605605,23183002869
2019-08-10,210.53,213.73,203.79,206.73,6584748527,22176113561
2019-08-09,220.91,221.36,208.25,210.49,6964818795,22576055651
2019-08-08,226.52,226.77,216.52,220.94,6713525644,23694202562
2019-08-07,225.93,229.66,222.78,226.39,7020342210,24275514217
2019-08-06,234.25,239.12,223.55,226.02,7647742672,24232708406
2019-08-05,222.65,235.64,222.6,234.22,7765060287,25108076876
2019-08-04,222.58,224.23,218.49,222.67,5238542572,23867371249
2019-08-03,217.9,224.62,217.33,222.49,5697798687,23845116864
2019-08-02,217.88,222.18,215.98,217.87,6159440229,23347127327
2019-08-01,218.55,218.81,212.91,217.81,5965442642,23337361749
2019-07-31,210.49,218.65,210.44,218.65,6003828340,23425015630
2019-07-30,211.34,213.61,206.87,210.52,5489918859,22551013736
2019-07-29,211.12,213.93,208.76,211.27,5485190664,22627969069
2019-07-28,207.41,212.04,202.25,211.19,5504887934,22616386468
2019-07-27,219.62,223.52,204.9,207.41,6257703908,22208955063
2019-07-26,219.63,220.24,214.13,219.63,5729852178,23514586698
2019-07-25,216.97,224.25,216.14,219.62,6731281160,23510336984
2019-07-24,212.55,217.54,203.89,217.05,7168982843,23232101232
2019-07-23,217.57,218.52,209.64,212.73,6976091534,22767023810
2019-07-22,225.7,226.86,213.45,217.56,6338843919,23281138563
2019-07-21,229.17,229.86,219.03,225.63,6685082868,24141704293
2019-07-20,221.41,234.2,221.19,229.12,7976245988,24511869214
2019-07-19,226.66,226.94,215.84,221.33,7606433131,23675884534
2019-07-18,211.44,229.24,208.04,226.57,9327816059,24232572603
2019-07-17,199.07,217.98,193.99,211.48,9387747640,22616651114
2019-07-16,229.75,234.51,197.38,199.19,9036620494,21298941499
2019-07-15,227.97,235.03,210.39,229.78,9723674244,24566488597
2019-07-14,269.28,269.64,227.27,227.58,8578339386,24328422207
2019-07-13,276.29,276.69,263.07,269.46,6716829429,28801816023
2019-07-12,268.69,278.86,268,276.28,8148936015,29526802979
2019-07-11,289.95,290.02,266.09,268.7,10216287022,28713849048
2019-07-10,308.85,313.07,285.57,290,11679985167,30985827113
2019-07-09,313.33,318.22,305.29,308.88,10055159803,32998749928
2019-07-08,305.73,314.27,303.5,313.25,9078905628,33461369498
2019-07-07,287.6,310.14,286.11,305.7,8119724981,32650611906
2019-07-06,287.89,295.99,286.67,287.55,7674615025,30707785756
2019-07-05,284.38,293.92,282.69,288,8723493015,30751916427
2019-07-04,303.03,303.96,282.77,284.52,8403513106,30377082394
2019-07-03,291.76,303.34,291.4,303.1,9926711979,32356299765
2019-07-02,293.54,295.66,272.6,291.6,10618413952,31124332021
2019-07-01,290.27,301.03,280.02,293.64,10292223948,31338571563
2019-06-30,319.58,322.79,290.7,290.7,10303111000,31020295932
2019-06-29,311.28,322.04,294.75,320.06,10929374565,34149263832
2019-06-28,294.14,313.03,292.94,311.23,11514656820,33202586960
2019-06-27,336.96,343.43,278.57,294.27,14038092503,31389390615
2019-06-26,317.99,361.4,315.95,336.75,16437084081,35916727561
2019-06-25,310.68,318.13,307.64,318.13,9641764965,33925713000
2019-06-24,307.72,312.33,299.56,310.42,8205712062,33100160024
2019-06-23,309.42,318.57,305.76,307.83,8161062380,32819043043
2019-06-22,295.12,315.19,294.73,309.38,10613731255,32980338717
2019-06-21,271.74,295.3,271.74,294.91,9331694140,31433771859
2019-06-20,269.41,274.07,265.5,271.7,6408981097,28955655290
2019-06-19,265.06,270.33,264.75,269.43,5516510947,28710780975
2019-06-18,274.32,274.32,263.14,265.05,6205242504,28240458529
2019-06-17,269.09,275.44,268.35,274.35,6009795781,29227567867
2019-06-16,268.9,278.14,265.54,269.22,9676746453,28677606760
2019-06-15,263.93,271.51,262.12,269.02,8126853944,28652203067
2019-06-14,256.18,265.37,254.15,264.09,8676891267,28123338884
2019-06-13,260.91,262.16,255.6,256.17,8442077836,27276572627
2019-06-12,245.93,261.02,244.49,260.9,8645598618,27777154177
2019-06-11,247.86,248.66,239.83,245.78,7382269700,26163906569
2019-06-10,232.83,247.66,229.34,247.52,8141159848,26345596475
2019-06-09,245.54,245.97,229.26,233.09,7566421456,24806123509
2019-06-08,251.25,252.38,243.23,245.74,7225996863,26149221979
2019-06-07,249.34,254.35,246.6,250.93,8379534528,26698353830
2019-06-06,246.93,249.94,238.5,249.47,8265146806,26540057659
2019-06-05,241.5,248.14,239.98,247.05,8548917062,26278874480
2019-06-04,252.51,252.51,236.13,241.34,10132549747,25667971281
2019-06-03,270.09,270.33,251.26,252.61,9375712917,26863086906
2019-06-02,265.51,272.81,265.04,270.23,8744111713,28732949885
2019-06-01,268.43,273.56,263.52,265.39,9942869852,28215330784
2019-05-31,256.02,268.66,249.11,268.11,11255023515,28501098831
2019-05-30,269.55,287.2,247.35,255.86,13604268584,27194892741
2019-05-29,271.78,273.76,263.09,269.46,9819132174,28636457373
2019-05-28,272.59,274.32,267.51,271.77,10362846898,28878512607
2019-05-27,267.14,278.51,265.44,272.86,12074664736,28991071396
2019-05-26,251.72,269.17,247.25,267.07,9664267731,28371943145
2019-05-25,249.69,257.36,249.09,251.76,8924985385,26742086786
2019-05-24,245.99,255.26,243.24,249.48,9929433206,26497014858
2019-05-23,244.67,247.62,233.79,245.97,10671663487,26119891327
2019-05-22,255,258.8,242.73,244.7,9818257463,25982060192
2019-05-21,251.65,262.11,248.2,255.22,11545049593,27095257004
2019-05-20,261.27,261.55,241.8,251.86,10834541285,26736046292
2019-05-19,234.45,263.74,233.76,261.29,12049250894,27733299057
2019-05-18,243.91,246.36,233.1,234.6,10933142646,24896520187
2019-05-17,263.85,266.98,227.77,243.76,16037551694,25866318005
2019-05-16,246.94,275.39,245.8,264.01,18661465873,28010958253
2019-05-15,217.01,247.45,216.82,247.15,13460006534,26219111162
2019-05-14,196.74,217.87,196.05,217.15,12751049755,23033114137
2019-05-13,187.42,205.1,185.31,196.85,10367149039,20876934045
2019-05-12,194.16,201.88,183.65,187.33,10326050090,19864635091
2019-05-11,173.14,203.47,173.14,194.3,12578331654,20602050120
2019-05-10,170.31,175.89,168.99,173.14,8036919053,18355936406
2019-05-09,170.95,172.88,167.25,170.29,6546914198,18051087500
2019-05-08,169.9,172.18,166.41,170.95,6416569598,18118602844
2019-05-07,172.43,180.39,169.69,169.8,8411140170,17994460619
2019-05-06,163.34,175.76,159.99,172.65,7540096853,18294624766
2019-05-05,164.02,165.4,159.7,163.45,5938415562,17317292591
2019-05-04,167.89,170.65,161.79,164.03,6658100049,17376070198
2019-05-03,162.08,170.07,161.08,167.95,7299410672,17789626262
2019-05-02,160.85,162.94,160.06,162.12,6044171062,17169962760
2019-05-01,162.19,164.06,159.66,160.82,5789172433,17029616915
2019-04-30,155.17,162.43,155.17,162.17,6275803460,17170110493
2019-04-29,157.29,158.33,153.19,155.2,6053776253,16430642271
2019-04-28,158.5,159.57,157.13,157.3,5379894433,16650076837
2019-04-27,156.27,160.59,155.62,158.43,5863109118,16768575998
2019-04-26,154.58,158.03,152.09,156.35,7505283355,16545462357
2019-04-25,165.91,166.51,153.85,154.46,6820332362,16343573973
2019-04-24,171.35,171.57,161.98,165.83,7351304156,17544029659
2019-04-23,172.01,176.85,170.9,171.45,7097827092,18136462572
2019-04-22,170.02,173.07,168.73,171.87,6094878077,18179292263
2019-04-21,173.72,174.42,167.43,170.05,6005571688,17983602095
2019-04-20,173.72,176.71,171.79,173.75,6142567812,18373023202
2019-04-19,173.79,173.98,170.62,173.71,6541053061,18366130180
2019-04-18,166.91,175.37,166.67,173.81,6971581464,18374913022
2019-04-17,167.55,168.94,165.5,166.95,5596102715,17647086048
2019-04-16,161.53,167.67,160.89,167.62,5180105341,17715913572
2019-04-15,167.9,168.82,159.56,161.57,5672311824,17074367783
2019-04-14,164.48,168.59,162.78,167.84,4846298303,17734050269
2019-04-13,164.62,166.36,163.01,164.51,4959301561,17380468169
2019-04-12,165.34,166.13,161.03,164.74,6237185309,17401765647
2019-04-11,177.34,177.49,162.32,165.5,7859383417,17479876008
2019-04-10,176.07,183.13,175.23,177.34,7856924879,18728058767
2019-04-09,180.22,180.25,175.09,176.11,7632529578,18596496042
2019-04-08,174.45,184.38,174.16,180.26,9304964610,19031640376
2019-04-07,165.98,175.21,164.93,174.53,7596176020,18424576820
2019-04-06,165.51,172.52,161.8,165.95,7167016221,17516082778
2019-04-05,158.02,167.22,157.44,165.51,7531316908,17468192986
2019-04-04,161.43,164.93,155.24,158.05,7953123529,16678477300
2019-04-03,164.01,178.32,157.32,161.46,10622456246,17035703564
2019-04-02,141.84,165.23,141.64,163.96,9826645698,17297572365
2019-04-01,141.47,142.73,140.74,141.83,4611999536,14960828861
2019-03-31,142.14,142.19,140.7,141.51,4249050197,14925533137
2019-03-30,142.36,149.61,141.03,142.09,5144662127,14984615423
2019-03-29,139.34,142.55,138.05,142.5,5125602702,15025361637
2019-03-28,141.01,141.01,138.43,139.42,4163212475,14698609599
2019-03-27,135.45,141.08,135.34,140.99,5228240093,14862394451
2019-03-26,135.05,135.46,133.76,135.46,4499271679,14277816266
2019-03-25,137.08,137.7,133.49,135.03,4480516753,14230733149
2019-03-24,138.32,138.38,136.31,136.99,4266845458,14434995337
2019-03-23,137.04,139.39,136.91,138.24,4436568613,14565143357
2019-03-22,136.56,138.79,136.23,137.18,4490899266,14451740115
2019-03-21,140.48,141,135.86,136.64,5087247796,14392427839
2019-03-20,140.48,140.95,138.31,140.69,4664134462,14817151375
2019-03-19,139.25,140.99,139.14,140.52,4251488129,14797612389
2019-03-18,140.1,142.27,138.84,139.37,4551739879,14675181094
2019-03-17,142.24,142.37,139.32,140,3827157729,14739201597
2019-03-16,137.91,144.56,137.91,142.4,4839003569,14989691491
2019-03-15,133.57,138.4,133.57,137.69,4506861856,14492364551
2019-03-14,133.2,135.18,132.75,133.71,4476532147,14071628064
2019-03-13,134.61,134.61,132.72,133.26,4265162099,14022610219
2019-03-12,134.01,135.27,130.94,134.44,4709988000,14144929392
2019-03-11,136.85,137.35,133.1,133.83,4689807419,14079044648
2019-03-10,138.18,138.27,135.69,136.76,4578438499,14384860876
2019-03-09,134.89,139.12,134.68,137.97,5011918715,14509873018
2019-03-08,138.31,139.5,133.56,135.13,4678816794,14209542041
2019-03-07,138.94,140.86,137.27,138.03,4339206292,14513398954
2019-03-06,137.96,139.97,136.15,138.79,4589054219,14590867639
2019-03-05,127.79,138.23,126.74,137.82,4764849990,14492117352
2019-03-04,132.16,132.73,125.4,127.77,4008171341,13432896659
2019-03-03,134.79,135.85,131.33,132.25,3454374053,13900679027
2019-03-02,136.35,137.18,132.44,134.21,3747176425,14103698392
2019-03-01,136.84,139,136.43,136.44,3756124824,14335957425
2019-02-28,136.28,138.85,135.66,136.75,4535438953,14365118213
2019-02-27,138.03,141.34,131.6,136.13,4469776860,14298070644
2019-02-26,139.65,139.98,136.58,138.09,3791292839,14502464167
2019-02-25,135.5,142.53,135.48,139.82,4914392068,14682597926
2019-02-24,158.9,165.55,135.85,135.85,5957715043,14263873721
2019-02-23,148.68,159.13,147.33,158.8,4519468458,16670632412
2019-02-22,146.07,149.27,145.21,149.09,3731099284,15649961167
2019-02-21,149.35,149.35,144.56,146.13,3995766856,15337145738
2019-02-20,145.17,149.55,142.5,149.55,4500094965,15694462393
2019-02-19,146.4,149.93,145.13,145.35,5310842625,15250901019
2019-02-18,133.03,147.69,133,146.1,5387525773,15327852479
2019-02-17,123.18,134.46,123.09,133.6,4236081130,14014695490
2019-02-16,122.4,124.13,122.3,123.26,2905833287,12928550184
2019-02-15,121.45,123.66,121.37,122.1,3021741615,12805280766
2019-02-14,122.42,124.45,121.33,121.39,3331701628,12729213675
2019-02-13,122.54,125.55,121.61,122.55,3386585799,12849605819
2019-02-12,121.18,123.47,119.6,122.57,3149576429,12849965121
2019-02-11,124.87,124.87,120.31,121.3,3222473887,12714795026
2019-02-10,119.41,124.85,117.11,124.81,3148766590,13080881910
2019-02-09,119.21,120.69,118,119.43,2884650400,12515870173
2019-02-08,104.65,119.81,104.19,119.27,3656841347,12496945336
2019-02-07,104.84,106.06,104.41,104.54,2326764622,10951652648
2019-02-06,107.57,107.57,102.93,104.92,2593048199,10990266833
2019-02-05,107.63,108.13,106.91,107.44,2515863999,11253035388
2019-02-04,107.63,108.7,107.07,107.82,2491888675,11290969364
2019-02-03,110.49,110.83,106.56,107.49,2519334757,11254870706
2019-02-02,107.47,110.65,106.76,110.43,2385157838,11560765573
2019-02-01,107.15,108.64,105.05,107.61,2541271519,11263815610
2019-01-31,108.9,110.46,106.53,107.06,2828796031,11204735502
2019-01-30,105.41,109.45,104.84,108.91,2874370355,11396282341
2019-01-29,106.72,107.17,104,105.6,2900418606,11048347342
2019-01-28,113.29,113.69,103.34,106.59,3366895505,11150461958
2019-01-27,116.51,116.69,113.41,113.41,2775888287,11861671822
2019-01-26,116.37,118.08,115.98,116.49,2412181169,12182338148
2019-01-25,117.59,117.8,115.83,116.38,2606881898,12168932300
2019-01-24,117.46,118.03,116.01,117.36,2520843420,12269992351
2019-01-23,118.71,119.42,116.38,117.45,2556952198,12277481872
2019-01-22,117.11,119.66,114.68,118.75,2552507405,12410972241
2019-01-21,119.64,119.72,116.16,117.16,2421720343,12242940197
2019-01-20,124.63,125.07,118.7,119.47,2964108269,12483136112
2019-01-19,121.61,125.9,121.16,124.52,3048261797,13007954846
2019-01-18,123.65,123.84,120.24,121.01,2305389800,12639234713
2019-01-17,123.57,124.27,120.82,123.74,2594091285,12922347330
2019-01-16,121.81,127.12,121.44,123.55,2746469340,12899812275
2019-01-15,129.17,130.74,120.31,122.03,2735449164,12739543688
2019-01-14,116.98,130.86,116.97,129.07,2798085735,13471754802
2019-01-13,125.91,126.27,116.09,116.9,2268263944,12199288487
2019-01-12,127.53,128.67,125.45,125.97,2212109224,13143426379
2019-01-11,127.81,130.17,125.24,127.55,2667585234,13306214134
2019-01-10,150.84,152.15,126.53,128.63,3397734456,13416263931
2019-01-09,150.55,153.62,150.29,150.8,2369241197,15726845711
2019-01-08,151.97,153.63,148.67,150.36,2459808140,15677889902
2019-01-07,157.81,158.45,151.15,151.7,2712108388,15814868678
2019-01-06,155.8,159.37,152.09,157.75,3231294371,16442429109
2019-01-05,154.34,160.82,154.34,155.64,3338211928,16219974745
2019-01-04,148.91,156.88,147.91,154.58,3126192535,16107068093
2019-01-03,155.2,155.86,147.2,149.14,2676164880,15536849936
