Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;0.266692;0.281039;0.266692;0.277468;3,332,447,611;12,124,855,856
2020-4-2;0.254557;0.269576;0.248820;0.266808;2,900,951,896;11,659,047,307
2020-3-2;0.250570;0.256370;0.248154;0.254627;2,156,814,065;11,126,754,979
2020-2-2;0.241321;0.259259;0.237002;0.250734;2,477,130,012;10,953,472,898
2020-1-2;0.239191;0.242612;0.237781;0.241455;1,592,451,417;10,548,109,281
2020-31-1;0.243618;0.244273;0.234905;0.239233;1,892,170,752;10,451,015,954
2020-30-1;0.235607;0.245961;0.231997;0.243642;2,125,017,678;10,643,624,488
2020-29-1;0.238691;0.241267;0.235322;0.235730;1,883,265,674;10,297,986,176
2020-28-1;0.231206;0.239931;0.230945;0.238488;2,052,700,894;10,418,484,690
2020-27-1;0.230532;0.234634;0.226982;0.231222;1,722,593,699;10,098,829,103
2020-26-1;0.220345;0.231344;0.219327;0.230686;1,583,964,764;10,075,423,155
2020-25-1;0.223049;0.223150;0.217737;0.220427;1,373,179,560;9,627,353,633
2020-24-1;0.226201;0.226314;0.215389;0.223041;1,706,347,379;9,741,530,849
2020-23-1;0.236173;0.236284;0.223069;0.226104;1,600,294,983;9,875,297,162
2020-22-1;0.237263;0.238689;0.234236;0.236056;1,517,150,861;10,309,942,100
2020-21-1;0.233340;0.240264;0.231539;0.237166;1,701,652,845;10,358,425,747
2020-20-1;0.235384;0.235748;0.225986;0.233296;1,723,535,818;10,184,268,786
2020-19-1;0.243367;0.249569;0.229278;0.235585;2,211,717,302;10,284,187,005
2020-18-1;0.238880;0.251187;0.233148;0.243286;2,391,157,804;10,620,350,242
2020-17-1;0.228725;0.243156;0.226576;0.238776;2,418,043,081;10,423,473,280
2020-16-1;0.232881;0.233568;0.224055;0.228574;2,066,952,513;9,978,103,123
2020-15-1;0.234504;0.240997;0.227920;0.232895;2,590,278,224;10,166,738,989
2020-14-1;0.212528;0.241832;0.212379;0.234687;2,639,844,916;10,244,977,875
2020-13-1;0.215624;0.215687;0.210601;0.212617;1,321,442,559;9,220,403,706
2020-12-1;0.212151;0.216371;0.211533;0.215633;1,496,128,430;9,351,208,273
2020-11-1;0.212097;0.218971;0.210054;0.211851;1,655,817,070;9,187,177,375
2020-10-1;0.204908;0.212403;0.201820;0.212306;1,693,646,276;9,206,907,569
2020-9-1;0.209110;0.209142;0.202589;0.204899;1,341,130,889;8,885,696,511
2020-8-1;0.213834;0.216704;0.205214;0.209026;1,782,128,652;9,064,684,943
2020-7-1;0.221576;0.223386;0.209047;0.213917;2,237,698,314;9,276,786,517
2020-6-1;0.195536;0.223832;0.195068;0.221510;2,301,679,290;9,606,054,235
2020-5-1;0.194367;0.199223;0.193884;0.195537;1,168,067,557;8,474,172,240
2020-4-1;0.193521;0.194653;0.191835;0.194355;999,331,594;8,422,952,089
2020-3-1;0.187948;0.194070;0.185846;0.193521;1,270,017,043;8,386,800,449
2020-2-1;0.192708;0.192896;0.186947;0.188043;1,085,351,426;8,149,376,228
2020-1-1;0.192912;0.194362;0.192107;0.192667;1,041,134,003;8,349,802,256
2019-31-12;0.194518;0.194878;0.189969;0.192894;1,116,761,075;8,359,619,491
2019-30-12;0.197063;0.198716;0.193685;0.194474;1,247,499,610;8,428,101,982
2019-29-12;0.193116;0.198972;0.192524;0.197051;1,176,573,822;8,536,136,120
2019-28-12;0.191063;0.195286;0.190974;0.193222;1,168,758,140;8,370,284,759
2019-27-12;0.190403;0.192708;0.188502;0.191102;1,151,157,499;8,278,444,958
2019-26-12;0.190555;0.192518;0.188141;0.190394;1,177,534,639;8,247,774,697
2019-25-12;0.192288;0.192622;0.188474;0.190719;1,140,140,919;8,261,843,273
2019-24-12;0.190992;0.196885;0.189908;0.192198;1,255,576,963;8,325,926,772
2019-23-12;0.196958;0.198134;0.189891;0.190943;1,402,992,086;8,271,536,883
2019-22-12;0.193999;0.197370;0.192513;0.196978;1,261,599,021;8,532,972,546
2019-21-12;0.195340;0.196173;0.190614;0.194082;1,208,597,753;8,407,526,855
2019-20-12;0.190900;0.197967;0.186777;0.195316;1,765,470,385;8,460,970,904
2019-19-12;0.196289;0.197257;0.185322;0.190819;1,588,179,338;8,264,443,017
2019-18-12;0.184613;0.197512;0.178485;0.196176;2,136,022,808;8,496,449,615
2019-17-12;0.207189;0.207659;0.180494;0.183699;2,059,426,123;7,956,063,481
2019-16-12;0.218647;0.218908;0.206862;0.207225;1,486,338,425;8,974,974,229
2019-15-12;0.217573;0.220074;0.211347;0.218601;1,171,149,673;9,467,680,410
2019-14-12;0.220748;0.221742;0.216795;0.217356;1,078,990,952;9,413,737,187
2019-13-12;0.219827;0.221007;0.216930;0.220755;1,252,707,498;9,560,937,204
2019-12-12;0.222013;0.222692;0.218963;0.219859;1,287,697,362;9,522,171,540
2019-11-12;0.224241;0.224742;0.221290;0.222053;1,072,062,152;9,611,705,134
2019-10-12;0.225439;0.226251;0.221276;0.224302;1,191,690,782;9,709,071,953
2019-9-12;0.230433;0.231324;0.223183;0.225452;1,241,659,373;9,758,847,242
2019-8-12;0.228453;0.233737;0.226260;0.230435;1,117,646,358;9,974,529,031
2019-7-12;0.225492;0.228891;0.225390;0.228445;1,073,561,928;9,888,381,919
2019-6-12;0.222959;0.225858;0.220785;0.225505;1,253,702,621;9,761,133,164
2019-5-12;0.216249;0.226575;0.213965;0.222928;1,424,294,121;9,649,602,827
2019-4-12;0.219824;0.221770;0.212603;0.216348;1,427,312,577;9,364,745,688
2019-3-12;0.219516;0.223179;0.216675;0.219870;1,017,648,495;9,517,202,026
2019-2-12;0.225386;0.227203;0.217283;0.219581;1,187,513,777;9,507,818,760
2019-1-12;0.226466;0.226525;0.220253;0.225333;1,176,237,060;9,756,884,341
2019-30-11;0.230232;0.233615;0.224546;0.226474;1,160,032,624;9,806,315,573
2019-29-11;0.224623;0.231636;0.224129;0.230217;1,325,761,774;9,968,382,707
2019-28-11;0.225221;0.231131;0.224198;0.224570;1,244,175,231;9,723,838,882
2019-27-11;0.221845;0.228498;0.216199;0.225081;1,608,881,984;9,745,970,911
2019-26-11;0.218464;0.223212;0.214957;0.222145;1,322,723,640;9,618,843,673
2019-25-11;0.222832;0.225923;0.207013;0.218622;9,415,068,271;9,466,286,656
2019-24-11;0.236227;0.236373;0.223184;0.223184;2,932,397,174;9,663,857,831
2019-23-11;0.231574;0.236188;0.227707;0.236188;1,480,512,363;10,226,933,084
2019-22-11;0.243775;0.246417;0.225687;0.231600;2,012,230,945;10,028,238,451
2019-21-11;0.251316;0.253512;0.240784;0.243766;1,586,333,624;10,555,043,277
2019-20-11;0.256545;0.259139;0.250331;0.251364;1,319,069,498;10,884,017,518
2019-19-11;0.255646;0.258563;0.246971;0.256500;1,420,685,334;11,106,437,807
2019-18-11;0.265137;0.265514;0.249842;0.255653;1,452,996,115;11,069,403,326
2019-17-11;0.264009;0.269385;0.262832;0.265253;1,273,573,229;11,485,052,604
2019-16-11;0.261694;0.265443;0.260609;0.263886;1,195,333,401;11,425,884,645
2019-15-11;0.270463;0.271049;0.259878;0.261654;1,548,251,349;11,329,241,896
2019-14-11;0.272903;0.273868;0.268069;0.270391;1,264,478,184;11,707,513,880
2019-13-11;0.272379;0.275665;0.271303;0.273036;1,278,922,350;11,822,051,383
2019-12-11;0.275179;0.277042;0.270781;0.272418;1,404,766,289;11,795,294,866
2019-11-11;0.280164;0.281727;0.272008;0.275086;1,437,677,669;11,910,794,571
2019-10-11;0.280273;0.283117;0.276669;0.280204;1,557,437,413;12,132,388,502
2019-9-11;0.276863;0.282471;0.276328;0.280196;1,449,652,131;12,117,941,815
2019-8-11;0.292438;0.292612;0.274005;0.276953;2,026,687,432;11,977,697,598
2019-7-11;0.310175;0.313278;0.283395;0.292431;2,430,065,390;12,647,080,586
2019-6-11;0.301103;0.311605;0.298735;0.310086;1,790,567,871;13,410,631,514
2019-5-11;0.299906;0.304524;0.297917;0.301255;1,964,177,330;13,028,715,563
2019-4-11;0.291236;0.299949;0.290893;0.299937;1,647,597,869;12,971,721,432
2019-3-11;0.296272;0.297173;0.288818;0.291261;1,381,510,371;12,596,463,117
2019-2-11;0.292688;0.299039;0.292539;0.296263;1,460,243,469;12,812,796,808
2019-1-11;0.296389;0.296487;0.288932;0.292642;1,572,251,058;12,656,190,134
2019-31-10;0.296527;0.302379;0.290938;0.296358;1,666,132,252;12,816,900,825
2019-30-10;0.301913;0.305180;0.292403;0.296555;1,883,224,296;12,825,432,798
2019-29-10;0.295991;0.307984;0.295357;0.301956;2,125,813,360;13,058,999,924
2019-28-10;0.298143;0.302837;0.293587;0.296007;2,061,536,473;12,801,729,616
2019-27-10;0.293886;0.301481;0.289935;0.298100;2,237,941,946;12,892,254,871
2019-26-10;0.298039;0.310290;0.286818;0.293699;3,122,465,894;12,701,942,701
2019-25-10;0.278607;0.299947;0.277240;0.298165;2,486,979,029;12,895,056,501
2019-24-10;0.274101;0.281281;0.269274;0.278491;1,638,078,551;12,042,668,475
2019-23-10;0.291556;0.292737;0.260083;0.274143;2,172,985,938;11,854,650,118
2019-22-10;0.293019;0.301484;0.291104;0.291607;1,632,212,674;12,609,856,226
2019-21-10;0.294265;0.294720;0.289768;0.292979;1,609,355,490;12,669,199,713
2019-20-10;0.293042;0.297051;0.285773;0.294179;1,804,228,003;12,721,101,190
2019-19-10;0.294852;0.299229;0.289901;0.293022;1,768,492,071;12,671,070,331
2019-18-10;0.302340;0.302340;0.286964;0.295005;1,809,664,285;12,756,788,002
2019-17-10;0.284556;0.302481;0.282608;0.302315;1,807,694,164;13,049,972,343
2019-16-10;0.288895;0.292086;0.280962;0.284640;1,626,378,642;12,286,985,753
2019-15-10;0.296438;0.298265;0.284174;0.288702;1,686,563,830;12,462,323,338
2019-14-10;0.277626;0.296590;0.276666;0.296523;1,685,629,956;12,799,942,425
2019-13-10;0.273129;0.281705;0.272383;0.277765;1,176,911,158;11,990,204,703
2019-12-10;0.271115;0.278960;0.271074;0.273191;1,100,066,310;11,792,798,089
2019-11-10;0.272109;0.275936;0.268589;0.271099;1,265,760,690;11,702,493,149
2019-10-10;0.281551;0.281551;0.268893;0.272073;1,383,555,182;11,744,507,007
2019-9-10;0.278392;0.283725;0.274915;0.281627;1,579,225,264;12,156,932,944
2019-8-10;0.275829;0.283569;0.271744;0.278459;1,518,125,769;12,020,170,580
2019-7-10;0.257570;0.279092;0.255627;0.275685;1,938,984,643;11,900,420,320
2019-6-10;0.253434;0.257705;0.252341;0.257705;965,338,466;11,112,666,133
2019-5-10;0.253608;0.256505;0.249384;0.253457;944,304,199;10,929,504,865
2019-4-10;0.247924;0.256247;0.247425;0.253935;1,078,860,456;10,950,104,521
2019-3-10;0.253457;0.253503;0.244366;0.247860;1,043,933,395;10,688,160,807
2019-2-10;0.249618;0.254884;0.246791;0.253539;1,093,145,013;10,933,024,350
2019-1-10;0.256213;0.260526;0.247843;0.249565;1,319,433,697;10,761,681,803
2019-30-9;0.241383;0.260146;0.238320;0.255933;1,662,002,377;11,036,254,662
2019-29-9;0.242592;0.243348;0.237544;0.241388;931,369,885;10,399,003,153
2019-28-9;0.244023;0.245047;0.240754;0.242571;978,211,509;10,449,975,028
2019-27-9;0.243712;0.246306;0.236745;0.244021;1,277,746,422;10,512,410,924
2019-26-9;0.246448;0.250457;0.234037;0.243784;1,387,714,462;10,502,200,054
2019-25-9;0.235483;0.248962;0.234906;0.246441;1,800,796,894;10,616,698,451
2019-24-9;0.268686;0.272868;0.227052;0.235226;2,114,210,733;10,133,548,682
2019-23-9;0.278602;0.286114;0.268575;0.268675;1,484,938,724;11,574,524,621
2019-22-9;0.289460;0.289673;0.274316;0.278931;1,242,282,758;12,009,356,968
2019-21-9;0.294456;0.297573;0.287775;0.289443;1,266,771,269;12,461,952,068
2019-20-9;0.302455;0.302455;0.288729;0.294470;1,558,069,366;12,678,417,604
2019-19-9;0.313740;0.313814;0.287051;0.302441;2,314,376,584;13,021,616,393
2019-18-9;0.284163;0.322034;0.283921;0.313776;2,548,478,917;13,509,644,789
2019-17-9;0.260862;0.294556;0.260308;0.285013;1,981,364,786;12,262,515,974
2019-16-9;0.261574;0.263923;0.259181;0.260952;878,264,190;11,227,300,186
2019-15-9;0.261170;0.264858;0.259714;0.261628;859,761,210;11,256,389,684
2019-14-9;0.255485;0.264492;0.254848;0.261167;1,005,057,194;11,236,551,220
2019-13-9;0.254795;0.256326;0.253137;0.255551;869,481,607;10,994,948,160
2019-12-9;0.255973;0.257015;0.252555;0.254811;974,717,877;10,963,094,269
2019-11-9;0.258692;0.259832;0.253401;0.255956;992,565,704;11,012,382,024
2019-10-9;0.259690;0.263649;0.256105;0.258671;975,503,111;11,129,180,970
2019-9-9;0.263247;0.263694;0.257643;0.259562;1,157,441,363;11,157,198,091
2019-8-9;0.260777;0.264973;0.259270;0.263084;1,043,077,809;11,308,589,245
2019-7-9;0.252411;0.262488;0.251273;0.260687;962,765,309;11,205,531,353
2019-6-9;0.256269;0.259332;0.250805;0.252340;1,063,044,201;10,846,757,543
